delta_abs_error,Solvent_Name
0.2549991607666015,DMSO
0.2253940105438232,DMSO
0.2414474487304687,DMSO
0.1813211441040039,DMSO
0.1756489276885985,DMSO
0.0280086994171143,DMSO
-0.0312528610229492,DMSO
-0.0607407093048096,DMSO
-0.0038061141967773,DMSO
0.5500428359955553,Cyclohexane
0.5138772651553156,Cyclohexane
0.5515970662236214,Cyclohexane
0.568187266588211,Cyclohexane
0.3909056931734085,Cyclohexane
0.2605684101581573,Cyclohexane
0.116401970386505,Cyclohexane
-0.0245605111122133,Cyclohexane
0.1127236485481262,Cyclohexane
0.0777813792228698,Cyclohexane
0.0006576609369448,Cyclohexane
-0.010808797197591,Cyclohexane
-0.0038017630577086,Cyclohexane
-0.070908099412918,Cyclohexane
-0.0549069344997406,Cyclohexane
-0.1326389256864787,Cyclohexane
-0.1360153947025538,Cyclohexane
-0.1333082150667905,Cyclohexane
0.041160449385643,n-Propyl acetate
-0.0389522891491651,n-Propyl acetate
-0.0225252360105513,n-Propyl acetate
-0.0920568592846394,n-Propyl acetate
-0.1226069703698157,n-Propyl acetate
-0.1551041643374097,n-Propyl acetate
-0.1475905343246742,n-Propyl acetate
-0.0651582716703144,n-Propyl acetate
-0.1058560012222139,n-Propyl acetate
-0.3000484445553964,Cyclohexane
-0.3010705153632336,Cyclohexane
-0.2774228653512303,Cyclohexane
-0.29694102677625,Cyclohexane
-0.3772487044334411,Cyclohexane
-0.3637243509292603,Cyclohexane
-0.1832332611083985,Cyclohexane
-0.1262451410293579,Cyclohexane
-0.3097184896469115,Cyclohexane
-0.2604615390300751,Cyclohexane
-0.2735445648431778,Cyclohexane
