LogS,split
0.3994516852274792,training/common sample
-0.4682359043393658,training/common sample
-0.8160686952285565,training/common sample
-0.9128957518058594,training/common sample
-0.7301531640248226,training/common sample
-1.0367100950079382,training/common sample
-2.5404788246684333,training/common sample
0.3609448452351,training/common sample
-2.9685034962876182,training/common sample
-2.045404399911238,training/common sample
-0.4595106766772579,training/common sample
-1.7922855923286367,training/common sample
0.173236056791597,training/common sample
0.1899635525480682,training/common sample
-0.4536115915786123,training/common sample
-3.4337037673873385,training/common sample
-1.0388086161022514,training/common sample
-1.0582838103155672,training/common sample
1.114069164900893,training/common sample
-1.006398616898489,training/common sample
-0.2561992594210338,training/common sample
-2.829304519390627,training/common sample
0.6098020289880901,training/common sample
-0.3877964590737574,training/common sample
-2.8865298033082127,training/common sample
-2.5640888004441393,training/common sample
-5.005249835367422,training/common sample
-0.1905140760130036,training/common sample
-2.394444001058723,training/common sample
-0.0927215390841794,training/common sample
0.1322259441567279,training/common sample
0.1569838060074346,training/common sample
-1.0601837685773363,training/common sample
-3.30391290320207,training/common sample
-2.906379185701299,training/common sample
-1.611115400812362,training/common sample
-1.4595603564812345,training/common sample
-3.6695732481371497,training/common sample
-0.4215642241511327,training/common sample
-1.4825459163965822,training/common sample
-2.052747664505107,training/common sample
-1.213620127750762,training/common sample
-2.7919912452903484,training/common sample
-0.1836159484959709,training/common sample
-1.498416097557426,training/common sample
0.0612882797288903,training/common sample
0.2624824299433117,training/common sample
-0.1952689769429924,training/common sample
-0.4701235274349931,training/common sample
0.0987108361202207,training/common sample
0.3119825084432098,training/common sample
-0.7485313351782571,training/common sample
-2.489106686193558,training/common sample
-0.6022802528840285,training/common sample
0.8294389294908117,training/common sample
0.5426267636797864,training/common sample
0.7283486263180304,training/common sample
-2.195010560684735,training/common sample
-3.402039996439533,training/common sample
0.2165851230133262,training/common sample
-0.7039320740831242,training/common sample
-3.533172572182827,training/common sample
-1.009959798983292,training/common sample
-1.1892338704421024,training/common sample
-1.9218851655029932,training/common sample
-1.8989027189853405,training/common sample
-1.3958783349783963,training/common sample
-1.9023304127531009,training/common sample
-3.232081279024922,training/common sample
-2.298526569624912,training/common sample
-0.7560951215332292,training/common sample
0.164412941420179,training/common sample
-1.1339705619988232,training/common sample
-0.8637295260243848,training/common sample
0.0504716589692513,training/common sample
-0.7226892612812639,training/common sample
-1.0135272453368322,training/common sample
-0.9864406640706064,training/common sample
0.0563708930013482,training/common sample
-0.7564720149477059,training/common sample
-2.274926118174035,training/common sample
0.2991238159305346,training/common sample
-0.2984200666760417,training/common sample
-3.4374698254489338,training/common sample
-2.0643705258272087,training/common sample
-0.7102926048118372,training/common sample
-4.091358998936171,training/common sample
-0.929287775011042,training/common sample
0.0864857997454325,training/common sample
0.7698123383241005,training/common sample
-0.3867565975764491,training/common sample
-3.152963387398739,training/common sample
-0.0999806379591559,training/common sample
-1.0001398463450877,training/common sample
-0.9707463850471032,training/common sample
0.6295473582998828,training/common sample
-2.164243054311623,training/common sample
-2.313096555145599,training/common sample
-2.036210157296521,training/common sample
-0.3629060400007503,training/common sample
-1.058301261514397,training/common sample
-1.6515906992028884,training/common sample
-2.958141084786738,training/common sample
-4.4564193310292275,training/common sample
-0.9323982700690092,training/common sample
-2.4224841407296944,training/common sample
-1.0486974898209076,training/common sample
-1.6514733886035056,training/common sample
-0.8721318685130625,training/common sample
-0.6193150231079962,training/common sample
-0.3541089666711058,training/common sample
-0.7789164363594112,training/common sample
-0.321267764945086,training/common sample
-0.290561048541767,training/common sample
-2.765516484743429,training/common sample
-0.6667468777494652,training/common sample
-1.2124446050621296,training/common sample
-0.4197436582001419,training/common sample
-0.5711146882093604,training/common sample
-0.0111323719556625,training/common sample
-2.231195819801575,training/common sample
0.7184571786385131,training/common sample
-1.1747949880940711,training/common sample
-0.1486177647135682,training/common sample
-2.0294775079693466,training/common sample
-0.027519904996731,training/common sample
-1.4293480908369915,training/common sample
1.0826145577942172,training/common sample
-1.3437498107026278,training/common sample
0.8751929336135678,training/common sample
0.6099264140986869,training/common sample
-1.0541441800322136,training/common sample
-0.5358676468300458,training/common sample
-0.4920651307360177,training/common sample
0.2253301413018713,training/common sample
-4.611142370707709,training/common sample
-1.81502554327196,training/common sample
-2.4762498236779757,training/common sample
0.339790995068831,training/common sample
-1.6756342920745804,training/common sample
0.7073300462500794,training/common sample
-0.2925495352179626,training/common sample
0.2470745116103904,training/common sample
-0.1402530662572631,training/common sample
-0.1712720112464211,training/common sample
-0.8687879384373971,training/common sample
-0.8093266155768862,training/common sample
-0.614452922213624,training/common sample
-0.8444803580374783,training/common sample
-1.310026940209869,training/common sample
-2.2633480977948093,training/common sample
-0.402105356887623,training/common sample
-0.5248253319997022,training/common sample
-0.6633397010710251,training/common sample
-0.9251754745031432,training/common sample
0.6055852376821038,training/common sample
-2.8163610678832653,training/common sample
-0.7210754166822871,training/common sample
-1.735718887890625,training/common sample
-1.8815660917251036,training/common sample
-5.064853784312674,training/common sample
-2.185961338629028,training/common sample
-0.1880571594511404,training/common sample
-4.279493598844608,training/common sample
-0.392502936851991,training/common sample
-0.5056376893189474,training/common sample
0.0435317101826236,training/common sample
-2.353022060120519,training/common sample
0.2221760747035027,training/common sample
-1.5473146323351694,training/common sample
-0.218822270400926,training/common sample
-0.5887400033316944,training/common sample
0.8751708593630873,training/common sample
-0.0148892218808517,training/common sample
-1.497122221547284,training/common sample
-0.8112645915002539,training/common sample
-2.592348901982894,training/common sample
-2.0071618066420283,training/common sample
-4.048820720241952,training/common sample
-2.5890895741316964,training/common sample
-1.6454360865551774,training/common sample
1.1407294155616468,training/common sample
-1.5953440548628113,training/common sample
-0.3566248772366499,training/common sample
-0.3889922962607906,training/common sample
-0.4921697483525667,training/common sample
-1.0930549881066327,training/common sample
-1.7831408110594311,training/common sample
-0.587202187470145,training/common sample
-1.0504755532452226,training/common sample
-0.2488206038228442,training/common sample
-0.149887939907996,training/common sample
1.1194033983364238,training/common sample
0.4368658317215552,training/common sample
-1.0023347683149997,training/common sample
-1.311632584133692,training/common sample
-1.0739641834001843,training/common sample
0.3789461984000367,training/common sample
0.3180860894830599,training/common sample
-0.7362735001562317,training/common sample
-2.4637451181704697,training/common sample
-1.7168570670361936,training/common sample
0.310166871144154,training/common sample
0.977292113813426,training/common sample
-0.9829126085353904,training/common sample
-0.4044117694019196,training/common sample
0.3277893267098967,training/common sample
0.2343736651458275,training/common sample
-0.5667330447063447,training/common sample
-2.785753918351027,training/common sample
-1.432518528436247,training/common sample
-1.4043421551357438,training/common sample
-1.6072112593115977,training/common sample
0.5951797546394533,training/common sample
-1.3025875750447815,training/common sample
-2.535506389720925,training/common sample
-2.3265869612471257,training/common sample
-2.1196259705387623,training/common sample
-2.2904795073968693,training/common sample
-0.4496794124571284,training/common sample
0.2719846041422605,training/common sample
-1.3003190734724506,training/common sample
-0.5439337458183565,training/common sample
-2.1141930076231414,training/common sample
-2.678045897270417,training/common sample
0.5169879867983284,training/common sample
-1.0739082674830789,training/common sample
0.5959936412387589,training/common sample
-0.4849199261518013,training/common sample
