seed,model,feature_count,train_n,val_n,test_n,R2,MAE,RMSE
59,class_cross_full98,98,88054,9784,5424,0.768372611689027,0.4270411147428193,0.6003580641891011
59,class_cross_top33_valshap,33,88054,9784,5424,0.7130276676280161,0.5110589009621429,0.6682445217953895
59,class_cross_top47_valshap,47,88054,9784,5424,0.7813016776474363,0.42152963286724193,0.5833619775188381
59,class_cross_top60_valshap,60,88054,9784,5424,0.7809542155883705,0.42039171804027736,0.5838252085716462
59,v1,33,88054,9784,5424,0.6805681892934485,0.5116011447813754,0.7050249315198556
59,v2,47,88054,9784,5424,0.748562295261463,0.45115149536682564,0.6255047257444996
60,class_cross_full98,98,88054,9784,5424,0.7797781075771246,0.42083251705408925,0.5853904573351141
60,class_cross_top33_valshap,33,88054,9784,5424,0.7662009893006959,0.4418883046530891,0.6031658267665847
60,class_cross_top47_valshap,47,88054,9784,5424,0.7834214454457653,0.41899724201305427,0.5805279296918173
60,class_cross_top60_valshap,60,88054,9784,5424,0.7649533480256592,0.4344837750190388,0.6047730476342061
60,v1,33,88054,9784,5424,0.682715139602541,0.5099578847269147,0.702651646515723
60,v2,47,88054,9784,5424,0.7536892545404507,0.44768883081461175,0.6190946809383086
61,class_cross_full98,98,88054,9784,5424,0.7542277897520748,0.43490644790067745,0.6184175145338456
61,class_cross_top33_valshap,33,88054,9784,5424,0.7670882726557575,0.43803632664942943,0.6020202108743117
61,class_cross_top47_valshap,47,88054,9784,5424,0.785538610600323,0.41270886815828695,0.5776834837531624
61,class_cross_top60_valshap,60,88054,9784,5424,0.7930626098766878,0.412255027939599,0.5674595079644994
61,v1,33,88054,9784,5424,0.6943242451985008,0.5025311165722839,0.6896772335567544
61,v2,47,88054,9784,5424,0.7534046637073596,0.44707982109160266,0.6194522329552871
