model,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
class_cross_top47_valshap,47,CS(C)=O,DMSO,1076,0.6402683030727844,0.4754553457221513,0.6186492733738933
class_cross_top47_valshap,47,OCCO,Ethylene glycol,1111,0.7381235351904492,0.4057226664355936,0.5380607365905
class_cross_top60_valshap,47,C1CCCCC1,Cyclohexane,1142,0.6008573169425809,0.7064693041796396,0.9033705183112146
class_cross_top60_valshap,47,CN1CCCC1=O,NMP,1049,0.7341271931818527,0.3168358159093033,0.4042012912674714
class_cross_top60_valshap,47,CCCOC(C)=O,n-Propyl acetate,1046,0.9005921658941722,0.19298127435022192,0.253140259521236
class_cross_top60_valshap,47,CS(C)=O,DMSO,1076,0.6516958521853768,0.456360735492149,0.6087436964946793
class_cross_top60_valshap,47,OCCO,Ethylene glycol,1111,0.7303133555020621,0.4134258223433904,0.5460253261260652
v1,48,C1CCCCC1,Cyclohexane,1142,0.46347224690602506,0.8214374102679544,1.0473646767241616
v1,48,CN1CCCC1=O,NMP,1049,0.42485539435610153,0.4707955881754843,0.5944964447840536
v1,48,CCCOC(C)=O,n-Propyl acetate,1046,0.9316063805595801,0.155076784072897,0.20997070625091135
v1,48,CS(C)=O,DMSO,1076,0.33395081633533885,0.7031405400612686,0.8417988035768588
v1,48,OCCO,Ethylene glycol,1111,0.7225798098289349,0.42860786711861176,0.5537989138098041
v2,48,C1CCCCC1,Cyclohexane,1142,0.6179663455106202,0.6807682974383222,0.8837972348407209
v2,48,CN1CCCC1=O,NMP,1049,0.6447300317948447,0.3606824497611921,0.4672399673674186
v2,48,CCCOC(C)=O,n-Propyl acetate,1046,0.925195707954815,0.17062659360660576,0.2195908166289584
v2,48,CS(C)=O,DMSO,1076,0.6182601193897839,0.48744911878133806,0.6372926660528051
v2,48,OCCO,Ethylene glycol,1111,0.7462091177472716,0.39654975157058425,0.5296891472361155
class_cross_full98,48,C1CCCCC1,Cyclohexane,1142,0.5373203363674832,0.7642787767745154,0.9726173950857917
class_cross_full98,48,CN1CCCC1=O,NMP,1049,0.7165933678423193,0.329860190697964,0.41731667741692724
class_cross_full98,48,CCCOC(C)=O,n-Propyl acetate,1046,0.9177583794519827,0.17567060881645152,0.2302484657336036
class_cross_full98,48,CS(C)=O,DMSO,1076,0.6418204482314069,0.46293301110451057,0.6173131782918739
class_cross_full98,48,OCCO,Ethylene glycol,1111,0.70913517382396,0.4107472307323911,0.5670595514210899
class_cross_top33_valshap,48,C1CCCCC1,Cyclohexane,1142,0.622778532375693,0.6958989261814719,0.8782133348921753
