seed,top_k,rank,feature
44,33,7,Solvent_MaxPartialCharge
44,33,8,Solvent_pos_area_frac
44,33,9,Solute_BalabanJ
44,33,10,Solute_MaxPartialCharge
44,33,11,Solute_M_hb_don
44,33,12,Solute_RingCount
44,33,13,Solute_polar_surface_density
44,33,14,Cross_sigma2_abs_gap
44,33,15,Solute_NumRotatableBonds
44,33,16,Solute_MinAbsPartialCharge
44,33,17,Solute_NumAromaticRings
44,33,18,Solute_M_nonpolar
44,33,19,Solute_sig2
44,33,20,Solute_MaxAbsPartialCharge
44,33,21,Cross_logP_abs_gap
44,33,22,Solute_sig3
44,33,23,Solute_LabuteASA
44,33,24,Solute_HeavyAtomCount
44,33,25,Cross_hb_don_moment_product
44,33,26,Cross_TPSA_density_abs_gap
44,33,27,Solvent_MolLogP
44,33,28,Solute_M_hb_acc
44,33,29,Solvent_BalabanJ
44,33,30,Solvent_sigma_asymmetry_abs
44,33,31,Cross_HB_directional_balance
44,33,32,Solute_MinPartialCharge
44,33,33,Cross_surface_imbalance_product
44,47,1,Solute_BertzCT
44,47,2,Temperature_K
44,47,3,Solute_TPSA
44,47,4,Solute_HB_capacity
44,47,5,Solute_MolLogP
44,47,6,Solute_MolWt
44,47,7,Solvent_MaxPartialCharge
44,47,8,Solvent_pos_area_frac
44,47,9,Solute_BalabanJ
44,47,10,Solute_MaxPartialCharge
44,47,11,Solute_M_hb_don
44,47,12,Solute_RingCount
44,47,13,Solute_polar_surface_density
44,47,14,Cross_sigma2_abs_gap
44,47,15,Solute_NumRotatableBonds
44,47,16,Solute_MinAbsPartialCharge
44,47,17,Solute_NumAromaticRings
44,47,18,Solute_M_nonpolar
44,47,19,Solute_sig2
44,47,20,Solute_MaxAbsPartialCharge
44,47,21,Cross_logP_abs_gap
44,47,22,Solute_sig3
44,47,23,Solute_LabuteASA
44,47,24,Solute_HeavyAtomCount
44,47,25,Cross_hb_don_moment_product
44,47,26,Cross_TPSA_density_abs_gap
44,47,27,Solvent_MolLogP
44,47,28,Solute_M_hb_acc
44,47,29,Solvent_BalabanJ
44,47,30,Solvent_sigma_asymmetry_abs
44,47,31,Cross_HB_directional_balance
44,47,32,Solute_MinPartialCharge
44,47,33,Cross_surface_imbalance_product
44,47,34,Cross_nonpolar_match
44,47,35,Solute_NumHDonors
44,47,36,Solvent_neg_area_frac
44,47,37,Solvent_sig3
44,47,38,Solvent_hydrophobic_density
44,47,39,Solute_pos_area_frac
44,47,40,Class_ester_x_solute_TPSA_density
44,47,41,Solute_neg_area_frac
44,47,42,Cross_sigma3_abs_gap
44,47,43,Solvent_sig2
44,47,44,Cross_acc_to_don_surface
44,47,45,Class_ester_x_solute_HBD
44,47,46,Cross_HB_capacity_product
44,47,47,Cross_pos_area_abs_gap
44,60,1,Solute_BertzCT
44,60,2,Temperature_K
44,60,3,Solute_TPSA
44,60,4,Solute_HB_capacity
44,60,5,Solute_MolLogP
44,60,6,Solute_MolWt
44,60,7,Solvent_MaxPartialCharge
44,60,8,Solvent_pos_area_frac
44,60,9,Solute_BalabanJ
44,60,10,Solute_MaxPartialCharge
44,60,11,Solute_M_hb_don
44,60,12,Solute_RingCount
44,60,13,Solute_polar_surface_density
44,60,14,Cross_sigma2_abs_gap
44,60,15,Solute_NumRotatableBonds
44,60,16,Solute_MinAbsPartialCharge
44,60,17,Solute_NumAromaticRings
44,60,18,Solute_M_nonpolar
44,60,19,Solute_sig2
44,60,20,Solute_MaxAbsPartialCharge
44,60,21,Cross_logP_abs_gap
44,60,22,Solute_sig3
44,60,23,Solute_LabuteASA
44,60,24,Solute_HeavyAtomCount
44,60,25,Cross_hb_don_moment_product
44,60,26,Cross_TPSA_density_abs_gap
44,60,27,Solvent_MolLogP
44,60,28,Solute_M_hb_acc
44,60,29,Solvent_BalabanJ
44,60,30,Solvent_sigma_asymmetry_abs
44,60,31,Cross_HB_directional_balance
44,60,32,Solute_MinPartialCharge
44,60,33,Cross_surface_imbalance_product
44,60,34,Cross_nonpolar_match
44,60,35,Solute_NumHDonors
44,60,36,Solvent_neg_area_frac
44,60,37,Solvent_sig3
44,60,38,Solvent_hydrophobic_density
44,60,39,Solute_pos_area_frac
44,60,40,Class_ester_x_solute_TPSA_density
44,60,41,Solute_neg_area_frac
44,60,42,Cross_sigma3_abs_gap
44,60,43,Solvent_sig2
44,60,44,Cross_acc_to_don_surface
44,60,45,Class_ester_x_solute_HBD
