learner,candidate,reference,metric,mean_delta,std_delta,median_delta,wins,n_seeds
ExtraTrees,CAT-Solv-47,2D-Min,RMSE,-0.22094270540326133,0.007286532744905145,-0.22188953621531649,20,20
HistGradientBoosting,2D-Elec,2D-Min,R2,0.09972827360340127,0.03329139928895105,0.10496635036278229,20,20
HistGradientBoosting,2D-Elec,2D-Min,MAE,-0.08879389064835112,0.020876524145425845,-0.09067721091636705,20,20
HistGradientBoosting,2D-Elec,2D-Min,RMSE,-0.0932963947774759,0.03084567838431825,-0.09775761102600566,20,20
HistGradientBoosting,Sigma-Solv,2D-Elec,R2,0.1695438360570301,0.020183188978535292,0.16502528788768522,20,20
HistGradientBoosting,Sigma-Solv,2D-Elec,MAE,-0.14228377465456205,0.014988458594196353,-0.1414056039191632,20,20
HistGradientBoosting,Sigma-Solv,2D-Elec,RMSE,-0.19137873200698322,0.02104810179924289,-0.18499189781280184,20,20
HistGradientBoosting,Sigma-Solv,2D-Min,R2,0.2692721096604314,0.027101347620124634,0.27169021578617486,20,20
HistGradientBoosting,Sigma-Solv,2D-Min,MAE,-0.23107766530291318,0.019225312637589646,-0.23467956888214703,20,20
HistGradientBoosting,Sigma-Solv,2D-Min,RMSE,-0.2846751267844591,0.026077351384498647,-0.28883131825763025,20,20
HistGradientBoosting,CAT-Solv-47,Sigma-Solv,R2,0.020776709787957304,0.01050010297494299,0.02048653192521932,20,20
HistGradientBoosting,CAT-Solv-47,Sigma-Solv,MAE,-0.022878100820717097,0.008957746824166852,-0.021760650149423966,20,20
HistGradientBoosting,CAT-Solv-47,Sigma-Solv,RMSE,-0.02786902545690954,0.014010676886492754,-0.027607934699755532,20,20
HistGradientBoosting,CAT-Solv-47,2D-Elec,R2,0.19032054584498742,0.02133834892401742,0.18840336757188053,20,20
HistGradientBoosting,CAT-Solv-47,2D-Elec,MAE,-0.16516187547527914,0.016259368996194585,-0.16348911998247548,20,20
HistGradientBoosting,CAT-Solv-47,2D-Elec,RMSE,-0.21924775746389277,0.022373370690984697,-0.21534597576391368,20,20
HistGradientBoosting,CAT-Solv-47,2D-Min,R2,0.2900488194483887,0.02553561242866268,0.2880263612863051,20,20
HistGradientBoosting,CAT-Solv-47,2D-Min,MAE,-0.25395576612363024,0.018392849202615278,-0.2543366718140163,20,20
HistGradientBoosting,CAT-Solv-47,2D-Min,RMSE,-0.3125441522413686,0.02393645917296381,-0.3102587028784155,20,20
