learner,feature_layer,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
RandomForest,Sigma-Solv,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9552718647141202,0.11363037341545675,0.16980141760208636
RandomForest,Sigma-Solv,43,CS(C)=O,DMSO,1076,0.465032142780182,0.5718719135459361,0.7544300843613263
RandomForest,Sigma-Solv,43,OCCO,Ethylene glycol,1111,0.6867110414424844,0.4397190229977505,0.5885123914384097
ExtraTrees,Sigma-Solv,43,C1CCCCC1,Cyclohexane,1142,0.4886392708257602,0.7940980041568155,1.022505171675769
ExtraTrees,Sigma-Solv,43,CN1CCCC1=O,NMP,1049,0.6762282931668924,0.35323041861491405,0.44604654910142616
ExtraTrees,Sigma-Solv,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9666166181543973,0.09792046839869677,0.14669525968456107
ExtraTrees,Sigma-Solv,43,CS(C)=O,DMSO,1076,0.5339673524729609,0.5312920140726,0.7041469863958223
ExtraTrees,Sigma-Solv,43,OCCO,Ethylene glycol,1111,0.680917234497713,0.44027958891938823,0.5939292865339276
HistGradientBoosting,Sigma-Solv,43,C1CCCCC1,Cyclohexane,1142,0.6181593568122781,0.6915521600834513,0.8835739503163943
HistGradientBoosting,Sigma-Solv,43,CN1CCCC1=O,NMP,1049,0.7228649157527549,0.3204257084396327,0.41267341413936537
HistGradientBoosting,Sigma-Solv,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9079243810778015,0.17615484415582464,0.24362577780254072
HistGradientBoosting,Sigma-Solv,43,CS(C)=O,DMSO,1076,0.6420905467318982,0.47356348452243713,0.6170803805120153
HistGradientBoosting,Sigma-Solv,43,OCCO,Ethylene glycol,1111,0.7270280264688732,0.421026327183812,0.5493411051393308
XGBoost,CAT-Solv-47,43,C1CCCCC1,Cyclohexane,1142,0.6195288490723097,0.6917084579570746,0.8819880340012436
XGBoost,CAT-Solv-47,43,CN1CCCC1=O,NMP,1049,0.7113473618711678,0.3243606065657476,0.42116134300637187
XGBoost,CAT-Solv-47,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9040475913024071,0.19390604628144373,0.24870175841967804
XGBoost,CAT-Solv-47,43,CS(C)=O,DMSO,1076,0.6556153816443178,0.4713833091468166,0.605308854570778
XGBoost,CAT-Solv-47,43,OCCO,Ethylene glycol,1111,0.720506130728297,0.42716756087093927,0.5558648470418283
RandomForest,CAT-Solv-47,43,C1CCCCC1,Cyclohexane,1142,0.5160460434105875,0.7610052162174408,0.994726869860233
