seed,learner,feature_layer,feature_count,train_n,val_n,test_n,fit_seconds,predict_seconds,R2,MAE,RMSE
49,XGBoost,2D-Min,25,88054,9784,5424,1.6225168330129236,0.0062199170351959765,0.5454303026199341,0.6168031692504883,0.8410380189060735
49,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.8734690839773975,0.007561916019767523,0.7955563068389893,0.4028331935405731,0.5640301026738374
49,XGBoost,Sigma-Solv,47,88054,9784,5424,2.543235499993898,0.006759124982636422,0.7530784606933594,0.44584760069847107,0.6198618686144404
50,ExtraTrees,2D-Elec,33,88054,9784,5424,7.752022083033808,0.07589916698634624,0.6149975128620149,0.5407997182252184,0.7740110492044868
50,ExtraTrees,2D-Min,25,88054,9784,5424,5.725138707959559,0.06811641703825444,0.5435989973684835,0.591926392508989,0.8427304526866018
50,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,10.80112120800186,0.07353212498128414,0.7524440094922876,0.4325852165380838,0.6206576502720342
50,ExtraTrees,Sigma-Solv,47,88054,9784,5424,11.145050791965332,0.060720750014297664,0.7263679815871622,0.44782726902614933,0.652527545998262
50,HistGradientBoosting,2D-Elec,33,88054,9784,5424,7.27818224998191,0.032472957973368466,0.6370304193155201,0.5431114761669639,0.7515372438072762
50,HistGradientBoosting,2D-Min,25,88054,9784,5424,6.626856958027929,0.03202345804311335,0.4724758999980744,0.6729793040846307,0.9060174148255986
50,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,7.992927166982554,0.03508941701147705,0.7901126301093322,0.40378645502843824,0.5714898816939027
50,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,8.334262166987173,0.03507804201217368,0.7824903299914221,0.41472823693194955,0.5817744946663728
50,RandomForest,2D-Elec,33,88054,9784,5424,13.309342708031181,0.056041167001239955,0.5897781517803939,0.553799716044218,0.7989595390941189
50,RandomForest,2D-Min,25,88054,9784,5424,9.40814600000158,0.039409374992828816,0.4882369038804286,0.6376128181686201,0.8923800967915474
50,RandomForest,CAT-Solv-47,47,88054,9784,5424,23.131307083007414,0.038146458042319864,0.679062455175164,0.4960969347795501,0.7066846463756451
50,RandomForest,Sigma-Solv,47,88054,9784,5424,20.45186954201199,0.04968320799525827,0.7158439683292832,0.4615132649161177,0.6649574136989633
50,XGBoost,2D-Elec,33,88054,9784,5424,2.0144890419906005,0.006661999970674515,0.6857610940933228,0.5012452602386475,0.6992707899110567
50,XGBoost,2D-Min,25,88054,9784,5424,1.6575450000236742,0.006306625029537827,0.5526705980300903,0.6163567900657654,0.834313178183114
50,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.9043684999924153,0.00681116699706763,0.8006404042243958,0.40439003705978394,0.5569727659621647
50,XGBoost,Sigma-Solv,47,88054,9784,5424,2.550584417011123,0.006650874973274767,0.7587259411811829,0.4377667307853699,0.6127322223843904
51,ExtraTrees,2D-Elec,33,88054,9784,5424,7.605288666964043,0.07757233298616484,0.610546034870264,0.5481256248101207,0.7784728267954081
51,ExtraTrees,2D-Min,25,88054,9784,5424,5.7721904999925755,0.07473737496184185,0.5421887500653348,0.5921794821562597,0.8440314376686707
51,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,10.901287250046153,0.06676941696787253,0.7545757436859062,0.42989872631841836,0.6179795939733429
51,ExtraTrees,Sigma-Solv,47,88054,9784,5424,10.878026125021279,0.08548700000392273,0.7232063325887008,0.44790530446172544,0.6562864955192014
51,HistGradientBoosting,2D-Elec,33,88054,9784,5424,7.421611541998573,0.039131791971158236,0.5959367289090189,0.5746121792998561,0.7929395509492183
51,HistGradientBoosting,2D-Min,25,88054,9784,5424,7.582561457995325,0.03613950003637001,0.49749411326723125,0.6659185989631071,0.8842721958867126
51,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,7.943979499978013,0.034335083968471736,0.8007619437541347,0.39632940928245153,0.5568029671395015
51,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,7.959793125046417,0.036074375035241246,0.780999879631973,0.41946512728195795,0.5837643502113118
51,RandomForest,2D-Elec,33,88054,9784,5424,13.42250858299667,0.038604208966717124,0.5936670908519606,0.553819489280994,0.7951634175540441
51,RandomForest,2D-Min,25,88054,9784,5424,9.628066166944336,0.04803629097295925,0.48254619146542577,0.6387885002645327,0.8973279321290364
51,RandomForest,CAT-Solv-47,47,88054,9784,5424,23.900985916960053,0.037975707964506,0.6746779554289304,0.5027277013573928,0.7114954700877617
51,RandomForest,Sigma-Solv,47,88054,9784,5424,19.92504529096186,0.03883824998047203,0.7152213209378415,0.46289051086313276,0.6656855478780025
51,XGBoost,2D-Elec,33,88054,9784,5424,2.0294702909886837,0.006824833049904555,0.6880178451538086,0.5042873024940491,0.6967552732248258
51,XGBoost,2D-Min,25,88054,9784,5424,1.6539926660479978,0.006531833030749112,0.5122671127319336,0.6502344608306885,0.8711770193218171
51,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.906700166990049,0.006866208044812083,0.7999666929244995,0.3997780680656433,0.5579130920835039
51,XGBoost,Sigma-Solv,47,88054,9784,5424,2.6120230840169825,0.006866500014439225,0.7575802803039551,0.43906062841415405,0.6141852501249306
52,ExtraTrees,2D-Elec,33,88054,9784,5424,7.69057816703571,0.07875195902306587,0.615465956678249,0.5426020559952923,0.7735400249129553
52,ExtraTrees,2D-Min,25,88054,9784,5424,6.114084500004537,0.06959720799932256,0.5467991513673687,0.5890711896910267,0.8397707623313362
52,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,11.14757324999664,0.0611627500038594,0.7551740911332129,0.4316525914456621,0.6172258132201468
52,ExtraTrees,Sigma-Solv,47,88054,9784,5424,11.259819874947425,0.07273249997524545,0.7256490119627309,0.446906393025838,0.6533842434704724
52,HistGradientBoosting,2D-Elec,33,88054,9784,5424,7.843287083029281,0.04455525003140792,0.5540203689508973,0.6033488369033723,0.8330535219177426
52,HistGradientBoosting,2D-Min,25,88054,9784,5424,6.864762417040765,0.039492790994700044,0.5127581680355517,0.6459409652954765,0.8707383580369573
52,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,8.513171292026527,0.04143983300309628,0.7986862791719238,0.392743429598674,0.5596958423252997
52,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,8.454454707971308,0.03761325002415106,0.7836295192922363,0.41532721410039297,0.5802489961994345
52,RandomForest,2D-Elec,33,88054,9784,5424,13.397729207994416,0.039855417038779706,0.5899195201542418,0.5595494895831155,0.7988218607332226
52,RandomForest,2D-Min,25,88054,9784,5424,9.61373179097427,0.039644167001824826,0.4995648938536873,0.6268941573609568,0.882448312699211
52,RandomForest,CAT-Solv-47,47,88054,9784,5424,24.427963458001614,0.06142741598887369,0.6675677827281575,0.5102459056388629,0.7192285954916493
52,RandomForest,Sigma-Solv,47,88054,9784,5424,19.747132332995534,0.04915629205061123,0.7084967693434778,0.4685740268159107,0.6734991919432953
52,XGBoost,2D-Elec,33,88054,9784,5424,2.0364693330484442,0.006941124971490353,0.6803015470504761,0.5073644518852234,0.705319117733489
52,XGBoost,2D-Min,25,88054,9784,5424,1.6655419580056332,0.006071416020859033,0.5335260629653931,0.6319218873977661,0.8519793548813868
52,XGBoost,CAT-Solv-47,47,88054,9784,5424,3.2568009580136277,0.007091499981470406,0.7889416813850403,0.41172435879707336,0.5730818308106599
52,XGBoost,Sigma-Solv,47,88054,9784,5424,2.6417548329918645,0.006757041963282973,0.760269045829773,0.44311803579330444,0.6107696566063306
53,ExtraTrees,2D-Elec,33,88054,9784,5424,7.655055875016842,0.09371833299519494,0.6084580910017905,0.5485976882815021,0.7805568148837934
53,ExtraTrees,2D-Min,25,88054,9784,5424,5.868934124999214,0.07367874996270984,0.5444497086345915,0.5923480636489358,0.8419446802245626
